customer_id,customer_unique_id,customer_zip_code_prefix,customer_city,customer_state
C00000,U00000,13278,niteroi,RJ
C00001,U00001,39256,curitiba,PR
C00002,U00002,98696,rio_de_janeiro,RJ
C00003,U00003,65302,vitoria,ES
C00004,U00004,22280,sao_paulo,SP
C00005,U00005,76237,curitiba,PR
C00006,U00006,36062,olinda,PE
C00007,U00007,68878,londrina,PR
C00008,U00008,30926,santos,SP
C00009,U00009,54597,feira_de_santana,BA
C00010,U00010,38221,uberlandia,MG
C00011,U00011,22156,niteroi,RJ
C00012,U00012,57052,niteroi,RJ
C00013,U00013,44671,vitoria,ES
C00014,U00014,80284,goiania,GO
C00015,U00015,20328,feira_de_santana,BA
C00016,U00016,57400,vitoria,ES
C00017,U00017,16006,rio_de_janeiro,RJ
C00018,U00018,20458,porto_alegre,RS
C00019,U00019,59823,niteroi,RJ
C00020,U00020,93320,anapolis,GO
C00021,U00021,58520,uberlandia,MG
C00022,U00022,97841,londrina,PR
C00023,U00023,89840,rio_de_janeiro,RJ
C00024,U00024,42087,recife,PE
C00025,U00025,59735,anapolis,GO
C00026,U00026,38785,olinda,PE
C00027,U00027,40021,sao_paulo,SP
C00028,U00028,62581,joinville,SC
C00029,U00029,37653,niteroi,RJ
C00030,U00030,95909,londrina,PR
C00031,U00031,94259,feira_de_santana,BA
C00032,U00032,44718,belo_horizonte,MG
C00033,U00033,83579,londrina,PR
C00034,U00034,66155,vila_velha,ES
C00035,U00035,38746,florianopolis,SC
C00036,U00036,74686,recife,PE
C00037,U00037,24371,sao_paulo,SP
C00038,U00038,99192,uberlandia,MG
C00039,U00039,18326,vila_velha,ES
C00040,U00040,88104,feira_de_santana,BA
C00041,U00041,42953,recife,PE
C00042,U00042,99353,niteroi,RJ
C00043,U00043,24621,joinville,SC
C00044,U00044,30730,feira_de_santana,BA
C00045,U00045,44522,santos,SP
C00046,U00046,76542,belo_horizonte,MG
C00047,U00047,93748,porto_alegre,RS
C00048,U00048,59009,belo_horizonte,MG
C00049,U00049,79514,recife,PE
C00050,U00050,52487,vila_velha,ES
C00051,U00051,24662,campinas,SP
C00052,U00052,41385,porto_alegre,RS
C00053,U00053,84364,curitiba,PR
C00054,U00054,73699,rio_de_janeiro,RJ
C00055,U00055,26483,recife,PE
C00056,U00056,82063,goiania,GO
C00057,U00057,79163,caxias_do_sul,RS
C00058,U00058,80686,curitiba,PR
C00059,U00059,62296,caxias_do_sul,RS
C00060,U00060,77839,anapolis,GO
C00061,U00061,42493,rio_de_janeiro,RJ
C00062,U00062,54313,rio_de_janeiro,RJ
C00063,U00063,82603,vitoria,ES
C00064,U00064,38864,vitoria,ES
C00065,U00065,92719,rio_de_janeiro,RJ
C00066,U00066,18834,curitiba,PR
C00067,U00067,19287,florianopolis,SC
C00068,U00068,97684,caxias_do_sul,RS
C00069,U00069,80678,curitiba,PR
C00070,U00070,85525,vila_velha,ES
C00071,U00071,71993,londrina,PR
C00072,U00072,22363,curitiba,PR
C00073,U00073,56438,feira_de_santana,BA
C00074,U00074,71213,salvador,BA
C00075,U00075,17944,niteroi,RJ
C00076,U00076,24322,florianopolis,SC
C00077,U00077,34931,londrina,PR
C00078,U00078,65296,belo_horizonte,MG
C00079,U00079,70637,porto_alegre,RS
C00080,U00080,68082,rio_de_janeiro,RJ
C00081,U00081,95477,santos,SP
C00082,U00082,22224,sao_paulo,SP
C00083,U00083,63269,uberlandia,MG
C00084,U00084,38016,anapolis,GO
C00085,U00085,31579,campinas,SP
C00086,U00086,61173,campinas,SP
C00087,U00087,47388,anapolis,GO
C00088,U00088,96752,olinda,PE
C00089,U00089,34890,uberlandia,MG
C00090,U00090,17665,curitiba,PR
C00091,U00091,17492,florianopolis,SC
C00092,U00092,72493,vitoria,ES
C00093,U00093,76562,sao_paulo,SP
C00094,U00094,18981,belo_horizonte,MG
C00095,U00095,62923,curitiba,PR
C00096,U00096,42271,vitoria,ES
C00097,U00097,20745,vila_velha,ES
C00098,U00098,84085,vila_velha,ES
C00099,U00099,36772,caxias_do_sul,RS
C00100,U00100,44814,londrina,PR
C00101,U00101,98039,uberlandia,MG
C00102,U00102,51441,goiania,GO
C00103,U00103,70068,santos,SP
C00104,U00104,23104,vitoria,ES
C00105,U00105,37938,olinda,PE
C00106,U00106,55745,belo_horizonte,MG
C00107,U00107,58434,londrina,PR
C00108,U00108,67433,uberlandia,MG
C00109,U00109,95717,vitoria,ES
C00110,U00110,49240,recife,PE
C00111,U00111,44664,belo_horizonte,MG
C00112,U00112,82512,rio_de_janeiro,RJ
C00113,U00113,46930,porto_alegre,RS
C00114,U00114,36685,joinville,SC
C00115,U00115,74032,olinda,PE
C00116,U00116,22097,santos,SP
C00117,U00117,46265,salvador,BA
C00118,U00118,53719,sao_paulo,SP
C00119,U00119,31178,caxias_do_sul,RS
C00120,U00120,66057,recife,PE
C00121,U00121,19862,rio_de_janeiro,RJ
C00122,U00122,14722,olinda,PE
C00123,U00123,82420,vitoria,ES
C00124,U00124,26704,salvador,BA
C00125,U00125,57795,porto_alegre,RS
C00126,U00126,37535,florianopolis,SC
C00127,U00127,56357,niteroi,RJ
C00128,U00128,30257,vitoria,ES
C00129,U00129,33206,uberlandia,MG
C00130,U00130,33509,santos,SP
C00131,U00131,63964,florianopolis,SC
C00132,U00132,30866,porto_alegre,RS
C00133,U00133,15075,feira_de_santana,BA
C00134,U00134,36158,londrina,PR
C00135,U00135,50001,florianopolis,SC
C00136,U00136,13101,curitiba,PR
C00137,U00137,53025,feira_de_santana,BA
C00138,U00138,46585,niteroi,RJ
C00139,U00139,62386,olinda,PE
C00140,U00140,25118,campinas,SP
C00141,U00141,86099,uberlandia,MG
C00142,U00142,24208,santos,SP
C00143,U00143,55309,feira_de_santana,BA
C00144,U00144,89457,salvador,BA
C00145,U00145,85574,salvador,BA
C00146,U00146,15817,caxias_do_sul,RS
C00147,U00147,78146,santos,SP
C00148,U00148,57739,londrina,PR
C00149,U00149,97062,niteroi,RJ
C00150,U00150,51145,vitoria,ES
C00151,U00151,76469,caxias_do_sul,RS
C00152,U00152,52753,feira_de_santana,BA
C00153,U00153,82667,porto_alegre,RS
C00154,U00154,65108,londrina,PR
C00155,U00155,90676,uberlandia,MG
C00156,U00156,81819,salvador,BA
C00157,U00157,47606,porto_alegre,RS
C00158,U00158,86019,feira_de_santana,BA
C00159,U00159,67905,anapolis,GO
C00160,U00160,77000,londrina,PR
