order_id,order_item_id,product_id,seller_id,price,freight_value
O00000,1,P00112,S00076,24.25,11.19
O00001,1,P00062,S00031,188.15,5.51
O00002,1,P00110,S00060,27.78,34.01
O00003,1,P00147,S00038,51.86,42.03
O00004,1,P00076,S00009,41.6,43.82
O00004,2,P00048,S00057,25.57,19.93
O00005,1,P00120,S00057,258.74,30.64
O00006,1,P00072,S00030,81.37,21.35
O00007,1,P00067,S00030,151.83,41.86
O00008,1,P00140,S00045,40.84,27.62
O00009,1,P00055,S00073,40.7,22.45
O00010,1,P00058,S00060,184.49,41.52
O00011,1,P00029,S00053,69.37,25.38
O00011,2,P00113,S00008,113.28,24.54
O00012,1,P00006,S00006,70.04,32.86
O00013,1,P00108,S00032,29.88,42.06
O00014,1,P00066,S00065,59.12,14.69
O00014,2,P00097,S00047,72.14,6.38
O00015,1,P00136,S00038,18.01,30.24
O00015,2,P00107,S00034,40.71,32.06
O00016,1,P00059,S00049,241.95,30.81
O00017,1,P00132,S00066,26.54,23.22
O00018,1,P00024,S00028,31.1,15.17
O00019,1,P00048,S00064,69.0,43.07
O00020,1,P00052,S00069,38.3,5.49
O00020,2,P00082,S00038,95.64,35.84
O00021,1,P00039,S00033,41.76,41.68
O00022,1,P00036,S00053,103.6,28.45
O00023,1,P00061,S00076,54.51,25.74
O00023,2,P00105,S00050,150.25,12.55
O00024,1,P00040,S00000,91.77,38.19
O00025,1,P00041,S00055,59.86,17.09
O00026,1,P00119,S00010,35.62,31.34
O00026,2,P00044,S00042,47.71,20.31
O00026,3,P00049,S00036,174.0,17.32
O00027,1,P00097,S00031,56.01,40.06
O00028,1,P00033,S00057,63.27,8.55
O00028,2,P00116,S00046,133.61,30.45
O00029,1,P00108,S00034,52.88,18.78
O00029,2,P00106,S00035,36.52,10.71
O00030,1,P00099,S00039,60.25,42.2
O00030,2,P00136,S00039,167.2,20.92
O00031,1,P00063,S00001,20.4,44.48
O00032,1,P00009,S00037,73.26,5.06
O00032,2,P00068,S00070,97.19,7.79
O00033,1,P00137,S00036,37.69,26.0
O00034,1,P00119,S00075,19.48,34.32
O00035,1,P00022,S00038,58.36,19.99
O00036,1,P00135,S00014,28.0,12.92
O00036,2,P00084,S00035,28.54,12.28
O00037,1,P00070,S00067,146.25,23.03
O00037,2,P00048,S00005,47.61,37.57
O00038,1,P00004,S00011,46.38,7.36
O00039,1,P00036,S00045,126.01,35.37
O00040,1,P00087,S00070,158.47,41.09
O00041,1,P00107,S00077,15.95,30.07
O00042,1,P00003,S00036,82.33,39.73
O00043,1,P00078,S00008,41.46,16.73
O00044,1,P00133,S00058,38.24,16.07
O00045,1,P00038,S00055,24.93,28.43
O00046,1,P00046,S00012,22.03,31.91
O00047,1,P00037,S00059,110.98,7.44
O00048,1,P00142,S00046,189.27,5.29
O00048,2,P00132,S00042,197.91,28.3
O00049,1,P00125,S00018,21.22,8.87
O00049,2,P00096,S00017,21.04,25.89
O00049,3,P00030,S00069,17.39,5.29
O00050,1,P00054,S00031,227.49,44.48
O00051,1,P00005,S00041,65.39,42.29
O00051,2,P00001,S00039,52.41,23.93
O00052,1,P00070,S00062,58.08,22.18
O00053,1,P00021,S00042,69.18,40.61
O00054,1,P00141,S00043,125.42,37.67
O00054,2,P00070,S00042,67.66,42.64
O00054,3,P00107,S00032,60.54,31.6
O00055,1,P00109,S00055,61.72,7.29
O00056,1,P00081,S00010,34.96,18.21
O00057,1,P00042,S00072,38.88,23.28
O00058,1,P00015,S00055,33.37,34.01
O00059,1,P00120,S00012,48.55,10.55
