order_id,payment_sequential,payment_type,payment_installments,payment_value
O00000,1,pix,2,35.44
O00001,1,credit_card,1,193.66
O00002,1,boleto,1,61.79
O00003,1,pix,6,93.89
O00004,1,credit_card,1,130.92
O00005,1,credit_card,2,289.38
O00006,1,credit_card,10,102.72
O00007,1,pix,1,193.69
O00008,1,pix,1,68.46
O00009,1,pix,2,63.15
O00010,1,boleto,6,226.01
O00011,1,credit_card,1,232.57
O00012,1,pix,1,102.9
O00013,1,credit_card,1,71.94
O00014,1,credit_card,3,152.33
O00015,1,voucher,3,121.02
O00016,1,credit_card,10,272.76
O00017,1,credit_card,1,49.76
O00018,1,pix,1,46.27
O00019,1,credit_card,2,112.07
O00020,1,credit_card,3,175.27
O00021,1,pix,2,83.44
O00022,1,pix,1,132.05
O00023,1,pix,10,243.05
O00024,1,credit_card,6,129.96
O00025,1,credit_card,1,76.95
O00026,1,credit_card,10,326.3
O00027,1,credit_card,2,96.07
O00028,1,pix,1,235.88
O00029,1,credit_card,6,118.89
O00030,1,boleto,6,290.57
O00031,1,credit_card,1,64.88
O00032,1,pix,1,183.3
O00033,1,boleto,3,63.69
O00034,1,credit_card,6,53.8
O00035,1,credit_card,6,78.35
O00036,1,pix,2,81.74
O00037,1,pix,6,254.46
O00038,1,credit_card,10,53.74
O00039,1,credit_card,10,161.38
O00040,1,credit_card,1,199.56
O00041,1,pix,6,46.02
O00042,1,pix,10,122.06
O00043,1,pix,1,58.19
O00044,1,credit_card,1,54.31
O00045,1,boleto,1,53.36
O00046,1,boleto,2,53.94
O00047,1,credit_card,2,118.42
O00048,1,credit_card,6,420.77
O00049,1,boleto,10,99.7
O00050,1,credit_card,1,271.97
O00051,1,credit_card,1,184.02
O00052,1,boleto,3,80.26
O00053,1,boleto,10,109.79
O00054,1,pix,1,365.53
O00055,1,credit_card,1,69.01
O00056,1,pix,1,53.17
O00057,1,credit_card,6,62.16
O00058,1,pix,6,67.38
O00059,1,credit_card,3,211.26
O00060,1,credit_card,3,218.18
O00061,1,credit_card,1,144.55
O00062,1,credit_card,1,83.62
O00063,1,credit_card,2,58.32
O00064,1,credit_card,1,619.78
O00065,1,credit_card,1,44.41
O00066,1,voucher,10,146.95
O00067,1,credit_card,1,107.7
O00068,1,boleto,1,30.9
O00069,1,credit_card,3,157.23
O00070,1,pix,10,270.31
O00071,1,credit_card,3,179.58
O00072,1,pix,3,64.76
O00073,1,credit_card,1,104.21
O00074,1,credit_card,10,159.78
O00075,1,pix,1,235.62
O00076,1,credit_card,3,92.01
O00077,1,credit_card,2,43.68
O00078,1,credit_card,10,134.89
O00079,1,credit_card,1,106.65
O00080,1,pix,10,166.48
O00081,1,credit_card,2,125.55
O00082,1,credit_card,1,101.69
O00083,1,pix,1,112.0
O00084,1,pix,1,89.23
O00085,1,voucher,10,198.47
O00086,1,credit_card,10,88.47
O00087,1,credit_card,1,211.61
O00088,1,credit_card,3,386.74
O00089,1,credit_card,2,113.72
O00090,1,boleto,3,110.64
O00091,1,boleto,1,151.3
O00092,1,pix,1,153.2
O00093,1,pix,1,395.69
O00094,1,credit_card,6,64.75
O00095,1,pix,1,151.32
O00096,1,credit_card,3,98.18
O00097,1,boleto,6,197.94
O00098,1,credit_card,6,117.93
O00099,1,boleto,1,58.73
O00100,1,credit_card,2,184.02
O00101,1,pix,1,340.72
O00102,1,boleto,1,66.52
O00103,1,credit_card,2,89.08
O00104,1,pix,6,140.32
O00105,1,credit_card,1,118.95
O00106,1,credit_card,1,76.15
O00107,1,voucher,10,169.28
O00108,1,pix,1,268.28
O00109,1,credit_card,1,556.2
O00110,1,credit_card,3,63.09
O00111,1,credit_card,1,171.55
O00112,1,credit_card,6,89.41
