review_id,order_id,review_score,review_creation_date,review_answer_timestamp
R00000,O00000,4,2024-04-25 14:04:00,2024-04-25 23:04:00
R00001,O00001,5,2025-01-01 04:18:00,2025-01-01 08:18:00
R00002,O00002,5,2024-10-06 15:01:00,2024-10-07 04:01:00
R00003,O00003,3,2024-05-05 11:29:00,2024-05-06 02:29:00
R00004,O00004,3,2024-03-26 00:09:00,2024-03-26 17:09:00
R00005,O00005,5,2024-07-21 04:20:00,2024-07-23 14:20:00
R00006,O00006,4,2024-01-28 02:51:00,2024-01-30 19:51:00
R00007,O00007,3,2024-04-23 14:57:00,2024-04-24 09:57:00
R00008,O00008,5,2024-05-13 00:12:00,2024-05-13 03:12:00
R00009,O00009,3,2024-08-18 19:51:00,2024-08-21 15:51:00
R00010,O00010,5,2024-12-05 05:20:00,2024-12-08 01:20:00
R00011,O00011,5,2024-04-13 22:22:00,2024-04-16 20:22:00
R00012,O00012,3,2024-04-19 05:28:00,2024-04-21 05:28:00
R00013,O00013,3,2025-01-04 13:04:00,2025-01-05 18:04:00
R00014,O00014,5,2024-06-09 12:56:00,2024-06-12 10:56:00
R00015,O00015,5,2024-05-28 15:10:00,2024-05-29 17:10:00
R00016,O00016,4,2024-06-15 18:38:00,2024-06-17 08:38:00
R00017,O00017,4,2024-11-22 05:17:00,2024-11-24 18:17:00
R00018,O00018,4,2024-09-23 03:55:00,2024-09-24 18:55:00
R00019,O00019,1,2024-12-22 05:33:00,2024-12-25 05:33:00
R00020,O00020,5,2024-10-31 06:15:00,2024-10-31 15:15:00
R00021,O00021,2,2024-07-28 19:20:00,2024-07-29 13:20:00
R00022,O00022,3,2024-10-13 09:47:00,2024-10-14 17:47:00
R00023,O00023,4,2024-06-19 08:32:00,2024-06-21 14:32:00
R00024,O00024,4,2024-11-20 21:59:00,2024-11-22 05:59:00
R00025,O00025,5,2024-01-29 22:23:00,2024-01-31 03:23:00
R00026,O00026,5,2024-09-22 15:17:00,2024-09-23 09:17:00
R00027,O00027,5,2024-08-31 22:52:00,2024-09-01 18:52:00
R00028,O00028,3,2024-12-19 14:32:00,2024-12-21 02:32:00
R00029,O00029,5,2024-02-23 20:52:00,2024-02-24 12:52:00
R00030,O00030,5,2024-03-07 04:29:00,2024-03-09 17:29:00
R00031,O00031,3,2024-07-07 13:17:00,2024-07-09 04:17:00
R00032,O00032,5,2024-07-25 21:54:00,2024-07-26 17:54:00
R00033,O00033,2,2024-10-12 12:04:00,2024-10-13 23:04:00
R00034,O00034,5,2024-07-14 19:48:00,2024-07-16 20:48:00
R00035,O00035,5,2024-07-06 00:04:00,2024-07-06 15:04:00
R00036,O00036,5,2024-03-09 14:10:00,2024-03-10 12:10:00
R00037,O00037,5,2025-01-18 23:22:00,2025-01-20 13:22:00
R00038,O00038,3,2024-03-03 01:17:00,2024-03-03 13:17:00
R00039,O00039,5,2024-09-16 23:53:00,2024-09-18 06:53:00
R00040,O00040,5,2024-12-05 09:33:00,2024-12-07 17:33:00
R00041,O00041,4,2024-05-18 02:11:00,2024-05-19 14:11:00
R00042,O00042,5,2024-11-15 10:00:00,2024-11-16 19:00:00
R00043,O00043,5,2024-05-29 17:45:00,2024-05-31 23:45:00
R00044,O00044,5,2024-02-03 01:28:00,2024-02-04 23:28:00
R00045,O00045,2,2024-12-02 06:41:00,2024-12-04 21:41:00
R00046,O00046,4,2024-07-05 04:55:00,2024-07-06 09:55:00
R00047,O00047,5,2024-10-13 21:58:00,2024-10-14 11:58:00
R00048,O00048,5,2024-04-18 10:15:00,2024-04-21 10:15:00
R00049,O00049,5,2024-11-28 13:19:00,2024-12-01 08:19:00
R00050,O00050,5,2024-01-31 07:01:00,2024-01-31 13:01:00
R00051,O00051,5,2024-09-06 17:26:00,2024-09-07 06:26:00
R00052,O00052,2,2024-10-03 09:34:00,2024-10-05 08:34:00
R00053,O00053,5,2024-12-29 02:22:00,2024-12-31 05:22:00
R00054,O00054,5,2024-02-28 16:32:00,2024-03-01 13:32:00
R00055,O00055,5,2024-12-24 11:04:00,2024-12-26 22:04:00
R00056,O00056,5,2024-04-07 02:24:00,2024-04-09 06:24:00
R00057,O00057,5,2024-10-08 20:48:00,2024-10-09 00:48:00
R00058,O00058,3,2024-02-14 16:46:00,2024-02-14 20:46:00
R00059,O00059,5,2024-08-08 08:22:00,2024-08-08 21:22:00
R00060,O00060,4,2024-04-08 13:40:00,2024-04-08 17:40:00
R00061,O00061,5,2024-03-03 01:43:00,2024-03-04 23:43:00
R00062,O00062,5,2025-01-10 17:42:00,2025-01-12 15:42:00
R00063,O00063,5,2024-01-14 03:17:00,2024-01-15 15:17:00
R00064,O00064,4,2024-02-29 09:38:00,2024-03-02 03:38:00
R00065,O00065,4,2024-04-28 06:30:00,2024-04-29 03:30:00
R00066,O00066,3,2024-10-01 20:02:00,2024-10-04 00:02:00
R00067,O00067,5,2024-11-15 09:13:00,2024-11-18 01:13:00
R00068,O00068,5,2024-07-24 17:18:00,2024-07-26 15:18:00
R00069,O00069,5,2024-08-17 21:52:00,2024-08-19 14:52:00
R00070,O00070,5,2024-02-21 07:57:00,2024-02-21 19:57:00
R00071,O00071,5,2024-06-25 20:54:00,2024-06-28 12:54:00
R00072,O00072,5,2024-08-06 15:22:00,2024-08-07 17:22:00
R00073,O00073,4,2024-10-16 06:59:00,2024-10-18 03:59:00
R00074,O00074,4,2025-01-04 02:36:00,2025-01-06 01:36:00
R00075,O00075,5,2024-11-09 09:09:00,2024-11-11 03:09:00
R00076,O00076,1,2024-10-08 18:40:00,2024-10-10 10:40:00
R00077,O00077,5,2024-08-16 17:00:00,2024-08-19 17:00:00
R00078,O00078,5,2024-09-25 16:36:00,2024-09-26 02:36:00
R00079,O00079,3,2024-07-15 23:54:00,2024-07-18 03:54:00
R00080,O00080,5,2024-10-31 15:50:00,2024-11-02 11:50:00
R00081,O00081,5,2024-08-17 04:48:00,2024-08-17 22:48:00
R00082,O00082,5,2024-08-03 21:17:00,2024-08-05 11:17:00
R00083,O00083,5,2024-08-31 03:15:00,2024-09-01 21:15:00
R00084,O00084,5,2024-12-22 09:57:00,2024-12-22 15:57:00
R00085,O00085,4,2024-03-02 08:36:00,2024-03-03 20:36:00
R00086,O00086,1,2024-10-18 14:24:00,2024-10-19 19:24:00
R00087,O00087,4,2024-08-16 19:01:00,2024-08-19 04:01:00
R00088,O00088,5,2024-09-19 13:25:00,2024-09-20 08:25:00
R00089,O00089,1,2024-07-18 19:42:00,2024-07-18 22:42:00
R00090,O00090,5,2024-03-01 13:34:00,2024-03-03 22:34:00
R00091,O00091,4,2024-06-16 03:47:00,2024-06-18 08:47:00
R00092,O00092,3,2024-02-01 03:35:00,2024-02-03 05:35:00
R00093,O00093,5,2024-11-12 15:47:00,2024-11-14 01:47:00
R00094,O00094,4,2024-03-21 00:14:00,2024-03-22 07:14:00
R00095,O00095,4,2024-12-26 19:40:00,2024-12-27 05:40:00
R00096,O00096,5,2024-12-01 21:24:00,2024-12-03 15:24:00
R00097,O00097,5,2024-01-21 19:40:00,2024-01-24 16:40:00
R00098,O00098,5,2024-12-17 00:46:00,2024-12-19 17:46:00
R00099,O00099,5,2024-05-23 05:23:00,2024-05-23 19:23:00
R00100,O00100,5,2024-05-27 14:03:00,2024-05-29 11:03:00
