product_id,product_category_name,product_name_length,product_description_length,product_photos_qty,product_weight_g,product_length_cm,product_height_cm,product_width_cm
P00000,home_furniture,63,436,5,1441,77,33,77
P00001,bed_bath_table,24,338,1,1111,80,37,35
P00002,sports_leisure,30,217,5,7339,24,48,36
P00003,fashion,25,311,4,1011,68,13,75
P00004,watches_gifts,49,338,1,9255,69,48,49
P00005,electronics,45,180,1,3670,19,7,64
P00006,bed_bath_table,64,82,5,1087,18,35,14
P00007,computers,46,142,2,10610,63,28,58
P00008,fashion,75,243,4,1414,79,13,54
P00009,health_beauty,31,325,4,8764,26,51,38
P00010,electronics,68,61,3,7685,79,32,78
P00011,watches_gifts,72,167,2,7646,54,14,45
P00012,home_furniture,79,498,1,627,63,44,12
P00013,home_furniture,33,84,1,9831,14,33,16
P00014,home_furniture,67,72,4,7291,39,39,37
P00015,electronics,28,307,3,3936,50,41,51
P00016,home_furniture,39,498,2,10916,76,19,62
P00017,computers,37,81,5,9793,32,45,64
P00018,fashion,23,226,4,8692,50,49,63
P00019,watches_gifts,29,203,4,3112,78,35,40
P00020,home_furniture,39,489,2,7686,17,40,62
P00021,watches_gifts,55,321,2,6463,41,21,36
P00022,bed_bath_table,61,90,4,6179,21,39,34
P00023,electronics,37,243,5,9978,15,60,19
P00024,home_furniture,71,439,5,11967,37,35,36
P00025,bed_bath_table,39,57,2,3213,25,52,71
P00026,home_furniture,64,359,2,6598,40,40,51
P00027,computers,44,288,5,10728,55,24,43
P00028,bed_bath_table,52,304,4,1715,70,53,50
P00029,home_furniture,43,210,4,849,38,52,28
P00030,electronics,36,333,5,9588,63,23,29
P00031,home_furniture,41,167,4,9435,41,36,80
P00032,bed_bath_table,36,440,4,11954,72,34,31
P00033,bed_bath_table,30,121,5,8100,33,39,17
P00034,electronics,73,483,1,11048,16,53,10
P00035,watches_gifts,28,481,2,1213,29,5,37
P00036,fashion,43,80,5,10548,71,47,72
P00037,electronics,20,322,5,6839,11,6,77
P00038,computers,54,196,1,8328,65,56,32
P00039,health_beauty,78,99,5,2539,40,17,77
P00040,computers,72,231,3,6602,20,28,61
P00041,fashion,56,174,2,5014,20,46,14
P00042,health_beauty,45,244,4,9155,70,8,11
P00043,sports_leisure,25,305,4,10666,52,41,22
P00044,electronics,34,158,5,7890,44,7,19
P00045,computers,77,328,5,10882,14,16,50
P00046,electronics,33,350,2,11777,60,9,48
P00047,sports_leisure,56,173,5,6475,79,26,59
P00048,sports_leisure,70,402,1,8304,54,8,22
P00049,watches_gifts,34,479,1,5680,60,54,51
P00050,electronics,60,189,4,8138,39,27,80
P00051,watches_gifts,47,145,5,10924,58,10,47
P00052,home_furniture,65,87,1,4490,29,29,29
P00053,watches_gifts,40,234,1,1599,10,24,66
P00054,bed_bath_table,68,188,1,2270,21,16,65
P00055,fashion,55,334,5,6785,23,6,21
P00056,bed_bath_table,55,97,5,9898,51,60,59
P00057,electronics,38,261,4,1487,41,41,76
P00058,sports_leisure,63,244,2,2374,44,24,44
P00059,fashion,29,82,2,7221,45,31,48
P00060,fashion,70,89,3,4223,41,51,73
P00061,home_furniture,49,104,2,5091,10,30,52
P00062,watches_gifts,71,491,3,7312,52,32,27
P00063,computers,40,358,2,7948,50,16,60
P00064,bed_bath_table,38,426,4,9535,41,25,58
P00065,computers,72,452,4,6080,24,41,35
P00066,sports_leisure,63,443,5,540,69,50,36
P00067,fashion,71,199,1,6803,73,13,48
P00068,home_furniture,36,387,2,11818,64,55,58
P00069,health_beauty,48,356,4,9639,61,39,74
P00070,watches_gifts,54,68,3,11595,78,43,20
P00071,health_beauty,69,177,3,2825,15,41,61
P00072,bed_bath_table,70,270,1,272,22,21,38
P00073,home_furniture,48,241,4,7686,74,14,54
P00074,electronics,50,103,3,6915,20,12,28
P00075,bed_bath_table,39,225,4,3489,76,35,54
P00076,fashion,26,274,4,5325,18,24,15
P00077,health_beauty,21,484,3,10716,23,48,31
P00078,home_furniture,53,139,5,2723,52,40,64
