seller_id,seller_zip_code_prefix,seller_city,seller_state
S00000,69233,londrina,PR
S00001,44735,goiania,GO
S00002,30658,niteroi,RJ
S00003,15286,vitoria,ES
S00004,29441,florianopolis,SC
S00005,56627,londrina,PR
S00006,16416,olinda,PE
S00007,32789,porto_alegre,RS
S00008,69270,salvador,BA
S00009,70560,rio_de_janeiro,RJ
S00010,25919,belo_horizonte,MG
S00011,39135,sao_paulo,SP
S00012,62505,londrina,PR
S00013,86326,niteroi,RJ
S00014,12857,rio_de_janeiro,RJ
S00015,94670,londrina,PR
S00016,22055,uberlandia,MG
S00017,15596,niteroi,RJ
S00018,32018,santos,SP
S00019,61773,feira_de_santana,BA
S00020,60165,santos,SP
S00021,32650,feira_de_santana,BA
S00022,34530,londrina,PR
S00023,68459,porto_alegre,RS
S00024,90492,santos,SP
S00025,42215,vila_velha,ES
S00026,64000,anapolis,GO
S00027,21497,campinas,SP
S00028,27987,feira_de_santana,BA
S00029,94233,curitiba,PR
S00030,12559,olinda,PE
S00031,72873,joinville,SC
S00032,84141,joinville,SC
S00033,45446,salvador,BA
S00034,51795,santos,SP
S00035,13840,londrina,PR
S00036,71824,santos,SP
S00037,86544,florianopolis,SC
S00038,23124,belo_horizonte,MG
S00039,44934,curitiba,PR
S00040,85457,londrina,PR
S00041,32768,florianopolis,SC
S00042,87662,londrina,PR
S00043,87537,florianopolis,SC
S00044,84403,florianopolis,SC
S00045,34672,vila_velha,ES
S00046,50508,recife,PE
S00047,14975,goiania,GO
S00048,40490,santos,SP
S00049,12612,londrina,PR
S00050,53481,santos,SP
S00051,27103,londrina,PR
S00052,52413,belo_horizonte,MG
S00053,29360,santos,SP
S00054,24538,uberlandia,MG
S00055,58967,niteroi,RJ
S00056,23242,vila_velha,ES
S00057,52284,porto_alegre,RS
S00058,67261,uberlandia,MG
S00059,32833,joinville,SC
S00060,97232,curitiba,PR
S00061,50215,feira_de_santana,BA
S00062,33292,belo_horizonte,MG
S00063,61327,vitoria,ES
S00064,88956,uberlandia,MG
S00065,38953,vitoria,ES
S00066,28434,anapolis,GO
S00067,41194,niteroi,RJ
S00068,32005,florianopolis,SC
S00069,68540,florianopolis,SC
S00070,37483,porto_alegre,RS
S00071,55938,niteroi,RJ
S00072,10167,rio_de_janeiro,RJ
S00073,67438,feira_de_santana,BA
S00074,64266,uberlandia,MG
S00075,56036,feira_de_santana,BA
S00076,72847,rio_de_janeiro,RJ
S00077,69151,belo_horizonte,MG
S00078,48654,sao_paulo,SP
S00079,44226,florianopolis,SC
